fullName,games_played,total_points,avg_points,total_rebounds,avg_rebounds,total_assists,avg_assists,avg_fg_percentage,avg_three_pt_percentage,avg_ft_percentage,avg_minutes,total_steals,total_blocks,total_turnovers
Adam Keefe,766,3297.0,4.304177545691906,2706.0,3.5326370757180157,446.0,0.5822454308093995,0.3712258485639686,0.0026109660574412533,0.3555548302872063,15.942815249266863,327.0,182.0,573.0
Adam Mokoka,65,66.0,1.0153846153846153,19.0,0.2923076923076923,12.0,0.18461538461538463,0.12076923076923078,0.05384615384615385,0.04230769230769231,7.033333333333333,7.0,1.0,11.0
Adam Morrison,286,1500.0,5.244755244755245,424.0,1.4825174825174825,266.0,0.9300699300699301,0.24624125874125874,0.1827832167832168,0.21091608391608394,19.72,50.0,17.0,213.0
Adam Parada,9,15.0,1.6666666666666667,14.0,1.5555555555555556,9.0,1.0,0.13333333333333333,0.0,0.34244444444444444,7.0,2.0,3.0,7.0
Adam Thoseby,1,3.0,3.0,0.0,0.0,0.0,0.0,0.333,0.0,0.5,,1.0,0.0,1.0
Adama Bal,9,83.0,9.222222222222221,25.0,2.7777777777777777,19.0,2.111111111111111,0.35277777777777775,0.32066666666666666,0.29633333333333334,29.94875,9.0,1.0,6.0
Adama Sanogo,40,73.0,1.825,71.0,1.775,5.0,0.125,0.167975,0.0125,0.0646,7.599500000000001,9.0,4.0,10.0
Ade Murkey,4,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Adem Bona,174,739.0,4.247126436781609,607.0,3.4885057471264367,63.0,0.3620689655172414,0.4547988505747127,0.011494252873563218,0.3001264367816092,15.697315436241611,61.0,168.0,134.0
Ademola Okulaja,1,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0
Admiral Schofield,230,483.0,2.1,266.0,1.1565217391304348,96.0,0.41739130434782606,0.18203913043478262,0.14434347826086955,0.09891304347826087,10.4375,23.0,15.0,63.0
Adolph Hoefer,11,53.0,4.818181818181818,0.0,0.0,0.0,0.0,0.06063636363636364,0.0,0.12118181818181818,0.0,0.0,0.0,0.0
Adonal Foyle,962,3094.0,3.2162162162162162,3551.0,3.691268191268191,353.0,0.36694386694386694,0.3348170478170478,0.0,0.15538149688149688,17.0946123521682,269.0,1223.0,613.0
Adonis Arms,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adonis Jordan,19,21.0,1.105263157894737,6.0,0.3157894736842105,22.0,1.1578947368421053,0.14473684210526316,0.05263157894736842,0.05263157894736842,9.6,3.0,1.0,8.0
Adonis Thomas,27,22.0,0.8148148148148148,9.0,0.3333333333333333,6.0,0.2222222222222222,0.13396296296296295,0.018518518518518517,0.037037037037037035,7.25,1.0,0.0,2.0
Adou Thiero,55,56.0,1.018181818181818,40.0,0.7272727272727273,11.0,0.2,0.20120000000000002,0.00909090909090909,0.1272909090909091,5.705591397849463,7.0,2.0,13.0
Adreian Payne,229,483.0,2.109170305676856,358.0,1.5633187772925765,71.0,0.31004366812227074,0.18165938864628822,0.04039301310043668,0.11172052401746725,12.390243902439025,49.0,36.0,108.0
Adrian Branch,142,850.0,5.985915492957746,264.0,1.8591549295774648,103.0,0.7253521126760564,0.38693661971830984,0.03638732394366197,0.36852112676056337,10.394366197183098,85.0,17.0,130.0
Adrian Caldwell,212,392.0,1.849056603773585,497.0,2.3443396226415096,33.0,0.15566037735849056,0.31683490566037736,0.0,0.1215377358490566,7.974874371859296,56.0,41.0,126.0
Adrian Dantley,1031,24774.0,24.02909796314258,5821.0,5.645974781765276,2972.0,2.8826382153249273,0.5140455868089233,0.00533462657613967,0.7768700290979631,34.851600387972844,816.0,141.0,2177.0
Adrian Griffin,665,2093.0,3.1473684210526316,1677.0,2.5218045112781953,707.0,1.063157894736842,0.27766917293233084,0.04548721804511278,0.1829203007518797,15.841121495327103,476.0,62.0,363.0
Adrian Oliver,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Adrian Smith,757,8814.0,11.64332892998679,1651.0,2.1809775429326286,1025.0,1.3540290620871862,0.4009088507265522,0.0,0.7173672391017173,10.038309114927344,0.0,0.0,0.0
Adris Leon,1,9.0,9.0,3.0,3.0,4.0,4.0,0.273,0.2,0.667,,4.0,0.0,2.0
Agustin Caffaro,1,2.0,2.0,1.0,1.0,0.0,0.0,0.25,0.0,0.0,,0.0,0.0,2.0
Ahmad Caver,8,11.0,1.375,3.0,0.375,3.0,0.375,0.21875,0.0,0.25,6.0,1.0,0.0,2.0
Ahmed Hill,5,7.0,1.4,3.0,0.6,1.0,0.2,0.1332,0.2,0.2,5.0,0.0,1.0,1.0
Ajani Williams,2,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,3.0,0.0,1.0,1.0
Ajay Mitchell,140,1282.0,9.157142857142857,319.0,2.2785714285714285,339.0,2.4214285714285713,0.39925714285714287,0.2735214285714286,0.47327142857142857,20.83178861788618,121.0,24.0,138.0
Akech Allir,1,16.0,16.0,3.0,3.0,2.0,2.0,0.5,0.4,0.857,20.27,0.0,2.0,0.0
Akeem Vargas,1,2.0,2.0,2.0,2.0,0.0,0.0,0.25,0.0,0.0,,0.0,0.0,1.0
Akil Mitchell,11,0.0,0.0,1.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
Akin Akingbala,2,3.0,1.5,0.0,0.0,0.0,0.0,0.5,0.0,0.25,3.0,0.0,0.0,0.0
Akoldah Gak,2,17.0,8.5,13.0,6.5,0.0,0.0,0.25,0.5,0.5,,1.0,0.0,7.0
Al Bianchi,743,5991.0,8.063257065948855,1023.0,1.3768506056527592,775.0,1.0430686406460297,0.22768506056527593,0.0,0.511235531628533,5.166890982503364,0.0,0.0,0.0
Al Brightman,12,125.0,10.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.12008333333333332,0.0,0.0,0.0,0.0
Al Butler,234,2282.0,9.752136752136753,331.0,1.4145299145299146,184.0,0.7863247863247863,0.2083931623931624,0.0,0.5507649572649572,4.760683760683761,0.0,0.0,0.0
Al Carlson,28,72.0,2.5714285714285716,73.0,2.607142857142857,13.0,0.4642857142857143,0.35932142857142857,0.0,0.2516785714285714,9.964285714285714,4.0,3.0,0.0
Al Cervi,156,1186.0,7.602564102564102,19.0,0.12179487179487179,107.0,0.6858974358974359,0.07081410256410257,0.0,0.7790705128205128,0.5705128205128205,0.0,0.0,0.0
Al Eberhard,231,1544.0,6.683982683982684,769.0,3.329004329004329,166.0,0.7186147186147186,0.36524675324675326,0.0,0.4643333333333333,18.02164502164502,62.0,20.0,6.0
Al Ferrari,404,2797.0,6.923267326732673,539.0,1.3341584158415842,208.0,0.5148514851485149,0.23266089108910892,0.0,0.5533613861386139,7.594059405940594,0.0,0.0,0.0
Al Fleming,25,47.0,1.88,34.0,1.36,9.0,0.36,0.31396,0.0,0.24,4.72,2.0,2.0,6.0
Al Guokas,8,14.0,1.75,0.0,0.0,5.0,0.625,0.166625,0.0,0.166625,0.0,0.0,0.0,0.0
Al Hairston,43,91.0,2.116279069767442,41.0,0.9534883720930233,44.0,1.0232558139534884,0.1931860465116279,0.0,0.12016279069767441,6.27906976744186,0.0,0.0,0.0
Al Harrington,1178,14179.0,12.036502546689304,5899.0,5.007640067911715,1738.0,1.4753820033955858,0.38165619694397285,0.19635314091680814,0.48707130730050935,27.39441860465116,943.0,277.0,1979.0
Al Henry,49,194.0,3.9591836734693877,152.0,3.1020408163265305,9.0,0.1836734693877551,0.32481632653061226,0.0,0.3486530612244898,8.795918367346939,0.0,0.0,0.0
Al Horford,1542,18315.0,11.892857142857142,11263.0,7.3136363636363635,4555.0,2.957792207792208,0.4815461038961039,0.22551233766233766,0.41822922077922076,30.48192934782609,1119.0,1678.0,1979.0
Al Jackson,2,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.5,0.0,0.0,0.0
Al Jefferson,1118,15500.0,13.87645478961504,8370.0,7.493285586392122,1460.0,1.3070725156669651,0.443632945389436,0.007162041181736795,0.5031996418979409,27.777887462981244,698.0,1199.0,1330.0
Al Lucas,2,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Masino,86,402.0,4.674418604651163,16.0,0.18604651162790697,16.0,0.18604651162790697,0.10001162790697675,0.0,0.4201395348837209,2.302325581395349,0.0,0.0,0.0
Al McGuire,167,696.0,4.167664670658683,50.0,0.2994011976047904,90.0,0.5389221556886228,0.100437125748503,0.0,0.3818443113772455,2.784431137724551,0.0,0.0,0.0
Al Roges,4,10.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.27075,0.0,0.0,0.0,0.0
Al Skinner,208,1902.0,9.14423076923077,668.0,3.2115384615384617,530.0,2.548076923076923,0.3994375,0.0,0.5606826923076923,20.908653846153847,92.0,34.0,84.0
Al Thornton,340,3853.0,11.33235294117647,1350.0,3.9705882352941178,381.0,1.1205882352941177,0.4248794117647059,0.12769411764705882,0.5066235294117647,27.32398753894081,195.0,171.0,479.0
Al Tucker,261,2435.0,9.329501915708812,1244.0,4.766283524904215,219.0,0.8390804597701149,0.39195402298850573,0.0,0.4752413793103448,15.766283524904214,0.0,0.0,0.0
Al Wood,422,4962.0,11.75829383886256,1293.0,3.0639810426540284,749.0,1.7748815165876777,0.43400236966824646,0.05434123222748815,0.5810734597156398,23.928909952606634,282.0,154.0,537.0
Al-Farouq Aminu,874,6251.0,7.185057471264368,4859.0,5.585057471264368,1000.0,1.1494252873563218,0.37799425287356325,0.22334827586206896,0.41911954022988507,24.469565217391306,765.0,459.0,1009.0
Alaa Abdelnaby,273,1503.0,5.5054945054945055,866.0,3.172161172161172,88.0,0.32234432234432236,0.4395860805860806,0.0,0.29314285714285715,12.10989010989011,71.0,71.0,258.0
Alan Anderson,486,2745.0,5.671487603305785,821.0,1.6962809917355373,417.0,0.8615702479338843,0.2863347107438017,0.21998140495867768,0.32408677685950416,20.024128686327078,208.0,33.0,336.0
Alan Hardy,60,193.0,3.216666666666667,53.0,0.8833333333333333,23.0,0.38333333333333336,0.3476666666666667,0.0,0.19583333333333333,7.016666666666667,3.0,11.0,19.0
Alan Henderson,848,5321.0,6.274764150943396,3400.0,4.009433962264151,414.0,0.4882075471698113,0.3680129716981132,0.00589622641509434,0.3393667452830189,20.182076813655762,379.0,313.0,752.0
Alan Ogg,83,178.0,2.144578313253012,134.0,1.6144578313253013,13.0,0.1566265060240964,0.3389156626506024,0.0,0.1644578313253012,8.096385542168674,13.0,61.0,30.0
Alan Williams,129,438.0,3.4488188976377954,402.0,3.1653543307086616,41.0,0.3228346456692913,0.23654330708661417,0.0,0.20090551181102362,12.48611111111111,39.0,42.0,56.0
Alando Tucker,145,327.0,2.2551724137931033,78.0,0.5379310344827586,26.0,0.1793103448275862,0.16609655172413793,0.0706896551724138,0.1463862068965517,8.76388888888889,9.0,5.0,30.0
Albert King,555,6797.0,12.246846846846847,2358.0,4.248648648648649,1210.0,2.18018018018018,0.43162702702702704,0.06327027027027027,0.5337531531531532,24.10990990990991,406.0,191.0,1004.0
Alberto Abalde,1,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0
Alec Anigbata,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Alec Burks,1017,9238.0,9.110453648915188,2920.0,2.8796844181459567,1690.0,1.6666666666666667,0.3435128205128205,0.2798214990138067,0.4814043392504931,21.638112773302648,583.0,179.0,992.0
Alec Kessler,212,1086.0,5.122641509433962,752.0,3.547169811320755,81.0,0.38207547169811323,0.38012735849056606,0.04245283018867924,0.3769103773584906,13.910377358490566,39.0,71.0,193.0
Alec Peters,41,91.0,2.2195121951219514,41.0,1.0,14.0,0.34146341463414637,0.1380487804878049,0.10646341463414635,0.0975609756097561,10.130434782608695,2.0,2.0,5.0
Aleem Ford,8,21.0,2.625,21.0,2.625,3.0,0.375,0.27075,0.1125,0.125,11.625,1.0,0.0,5.0
Aleks Maric,2,2.0,1.0,7.0,3.5,2.0,1.0,0.25,0.0,0.0,,1.0,1.0,2.0
Aleksandar Djordjevic,12,25.0,2.0833333333333335,5.0,0.4166666666666667,5.0,0.4166666666666667,0.22224999999999998,0.25,0.16666666666666666,7.25,0.0,0.0,5.0
Aleksandar Radojevic,26,32.0,1.2307692307692308,45.0,1.7307692307692308,9.0,0.34615384615384615,0.13526923076923075,0.0,0.1281923076923077,9.117647058823529,2.0,4.0,23.0
Aleksej Pokusevski,226,1378.0,6.097345132743363,855.0,3.7831858407079646,361.0,1.5973451327433628,0.29146902654867257,0.21015929203539824,0.21186283185840707,20.078212290502794,102.0,146.0,282.0
Aleksey Zozulin,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Alen Smailagic,63,91.0,1.4444444444444444,46.0,0.7301587301587301,17.0,0.2698412698412698,0.1633174603174603,0.056873015873015874,0.1283015873015873,7.333333333333333,7.0,10.0,16.0
Alessandro Gentile,1,11.0,11.0,4.0,4.0,6.0,6.0,0.231,0.333,0.667,35.0,1.0,0.0,4.0
Alex Abrines,223,1018.0,4.648401826484018,283.0,1.2922374429223744,96.0,0.4383561643835616,0.30882648401826485,0.28885844748858447,0.2175068493150685,15.587301587301587,98.0,25.0,76.0
Alex Acker,72,118.0,1.6388888888888888,49.0,0.6805555555555556,36.0,0.5,0.17531944444444444,0.08101388888888889,0.06944444444444445,7.813953488372093,13.0,4.0,19.0
Alex Antetokounmpo,8,19.0,2.375,6.0,0.75,1.0,0.125,0.208375,0.083375,0.3705,3.263333333333333,0.0,1.0,1.0
Alex Blackwell,27,34.0,1.2592592592592593,23.0,0.8518518518518519,7.0,0.25925925925925924,0.23092592592592595,0.0,0.1111111111111111,4.037037037037037,4.0,2.0,5.0
Alex Bradley,39,137.0,3.5128205128205128,62.0,1.5897435897435896,11.0,0.28205128205128205,0.3633846153846154,0.0,0.2674871794871795,8.384615384615385,4.0,3.0,6.0
Alex Caruso,635,4051.0,6.43015873015873,1628.0,2.5841269841269843,1579.0,2.5063492063492063,0.38885555555555557,0.2983746031746032,0.31375396825396823,21.472544311034877,777.0,284.0,657.0
Alex Chubrevich,7,34.0,4.857142857142857,26.0,3.7142857142857144,7.0,1.0,0.33085714285714285,0.0,0.39285714285714285,12.0,2.0,1.0,14.0
Alex Ducas,42,65.0,1.5476190476190477,34.0,0.8095238095238095,8.0,0.19047619047619047,0.18369047619047618,0.18583333333333332,0.047619047619047616,6.6236,7.0,2.0,8.0
Alex English,1265,27316.0,21.593675889328065,6912.0,5.46403162055336,4643.0,3.6703557312252966,0.49665217391304345,0.013043478260869565,0.7009209486166008,32.02529644268775,1046.0,818.0,2766.0
Alex Fudge,22,27.0,1.2272727272727273,16.0,0.7272727272727273,1.0,0.045454545454545456,0.16163636363636363,0.030272727272727274,0.06818181818181818,7.909090909090909,5.0,2.0,3.0
Alex Garcia,32,76.0,2.375,27.0,0.84375,32.0,1.0,0.16190625,0.08384375,0.11975,14.058823529411764,10.0,1.0,22.0
